filename	sample_id	sample_type	ATTRIBUTE_source_taxon	ATTRIBUTE_solvant
20250506_CVOL_bk_mapp_00.mzML	bk_mapp_00	blank	NA	NA
20250506_CVOL_bk_mapp_01.mzML	bk_mapp_01	blank	NA	NA
20250506_CVOL_bk_mapp_02_20250508021707.mzML	bk_mapp_02_20250508021707	blank	NA	NA
20250506_CVOL_bk_mapp_02.mzML	bk_mapp_02	blank	NA	NA
20250506_CVOL_bk_mapp_pre_00.mzML	bk_mapp_pre_00	blank	NA	NA
20250506_CVOL_bk_mapp_pre_01.mzML	bk_mapp_pre_01	blank	NA	NA
20250506_CVOL_bk_mapp_pre_02.mzML	bk_mapp_pre_02	blank	NA	NA
20250506_CVOL_dbgi_002251_02_01.mzML	dbgi_002251_02_01	sample	Cannabis sativa	MEOH
20250506_CVOL_dbgi_002251_03_01.mzML	dbgi_002251_03_01	sample	Cannabis sativa	DMSO
20250506_CVOL_dbgi_002251_04_01.mzML	dbgi_002251_04_01	sample	Cannabis sativa	DMSO_sonicated
20250506_CVOL_dbgi_002414_02_01.mzML	dbgi_002414_02_01	sample	Nicotiana tabacum	MEOH
20250506_CVOL_dbgi_002414_03_01.mzML	dbgi_002414_03_01	sample	Nicotiana tabacum	DMSO
20250506_CVOL_dbgi_002414_04_01.mzML	dbgi_002414_04_01	sample	Nicotiana tabacum	DMSO_sonicated
20250506_CVOL_dbgi_002560_02_01.mzML	dbgi_002560_02_01	sample	Valeriana officinalis	MEOH
20250506_CVOL_dbgi_002560_03_01.mzML	dbgi_002560_03_01	sample	Valeriana officinalis	DMSO
20250506_CVOL_dbgi_002560_04_01.mzML	dbgi_002560_04_01	sample	Valeriana officinalis	DMSO_sonicated
20250506_CVOL_dbgi_002605_02_01.mzML	dbgi_002605_02_01	sample	Salvia officinalis	MEOH
20250506_CVOL_dbgi_002605_03_01.mzML	dbgi_002605_03_01	sample	Salvia officinalis	DMSO
20250506_CVOL_dbgi_002605_04_01.mzML	dbgi_002605_04_01	sample	Salvia officinalis	DMSO_sonicated
20250506_CVOL_dbgi_002893_02_01.mzML	dbgi_002893_02_01	sample	Erythroxylum coca	MEOH
20250506_CVOL_dbgi_002893_03_01.mzML	dbgi_002893_03_01	sample	Erythroxylum coca	DMSO
20250506_CVOL_dbgi_002893_04_01.mzML	dbgi_002893_04_01	sample	Erythroxylum coca	DMSO_sonicated
20250506_CVOL_dbgi_002976_02_01.mzML	dbgi_002976_02_01	sample	Echinacea purpurea	MEOH
20250506_CVOL_dbgi_002976_03_01.mzML	dbgi_002976_03_01	sample	Echinacea purpurea	DMSO
20250506_CVOL_dbgi_002976_04_01.mzML	dbgi_002976_04_01	sample	Echinacea purpurea	DMSO_sonicated
20250506_CVOL_dbgi_bk_DMSO_58.mzML	dbgi_bk_DMSO_58	blank	NA	NA
20250506_CVOL_dbgi_bk_MeOH-H2O_53.mzML	dbgi_bk_MeOH-H2O_53	blank	NA	NA
