formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	CH3NO8	[M - H2O + H]+	CH2NO7+	1.000	0.387	0.896	0.896	0.000	0	0.000	-1.770	1.770	-128665.303		139.982	11	0.181	711157033412416563	711156810501921959	1	
1	C7H16N2	[M + H3N + H]+	C7H20N3+	0.999	0.500	54.226	51.593	2.634	6	0.496	5.236	5.236	0.862		146.165	21	0.345	711157032028296211	711156810690665643	2	
1	C4H8Cl2NO2	[M - H2O + H]+	C4H7Cl2NO+	1.000	0.098	11.645	9.726	1.919	1	0.596	2.365	2.365	-116202.808		154.990	22	0.365	711157034775565439	711156810950712503	5	
1	C4H7Cl2NO3	[M - H2O + H]+	C4H6Cl2NO2+	0.905	0.324	23.226	23.226	0.000	4	0.496	1.892	1.892	-105956.682		169.977	22	0.365	711157035794781400	711156811110096063	7	
1	C5H8Cl2NO3	[M - H2O + H]+	C5H7Cl2NO2+	0.997	0.333	55.425	52.678	2.747	9	0.789	2.919	2.919	-98425.193		182.985	22	0.365	711157035878667497	711156811311422663	9	
1	C4H7Cl2NO	[M - H2O + H]+	C4H6Cl2N+	0.891	0.183	3.640	3.640	0.000	2	0.004	5.717	5.717	-130521.177		137.987	22	0.365	711157036075799835	711156810787134639	3	
1	C3H5Cl2O3	[M + H]+	C3H6Cl2O3+	0.953	0.425	65.512	65.512	0.000	9	0.785	2.355	2.355	1.745		159.969	22	0.365	711157036423927140	711156811034598587	6	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+	0.841	0.489	20.968	19.051	1.917	2	0.531	4.671	4.671	1.859		141.959	22	0.365	711157036570727815	711156810875215027	4	
1	C5H6FeN2O2	[M + H]+	C5H7FeN2O2+	0.535	0.333	53.706	46.118	7.588	16	0.861	2.311	2.311	0.363		180.990	22	0.365	711157038307169872	711156811231730883	8	
1	C8H7BrClFN2O2S	[M + H]+	C8H8BrClFN2O2S+	0.401	0.333	47.664	46.785	0.878	13	0.776	1.172	1.861	-2.076		328.915	22	0.365	711157040538539851	711156811466611919	11	
